ObservatoryIdentifier,ObservatoryName,LocationAddress,EnglishAddress,BasinIdentifier,CountyIdentifier,TownIdentifier,LocationXByTWD97,LocationXByTWD97,Elevation,DisuseStatus,Remarks,AgencyNameOfSite,Village,AffiliatedSubsidiaryBasin,AffiliatedSubSubsidiaryBasin,EquipementStatus,TransmissionEquipment
"01H630","草屯(4)","南投縣草屯鎮中山里草溪路791號","No.791, Caoxi Rd., Caotun Township, Nantou County","1430","10","1000803","217333.00","2652019.00","99","現存","","南投水利會","中山里","143010","143011","自記式","是"
"01H680","北山(2)","南投縣國姓鄉北山村中正路四段34號(北山發電廠)","No.34, Sec. 4, Zhongzheng Rd., Guoxing Township, Nantou County","1430","10","1000810","239095.00","2653427.00","339","現存","","北山發電廠","北山村","143010","143011","自記式","是"
"01H720","清流(1)","南投縣仁愛鄉互助村明月巷3號對面路旁","Qingfeng Rd., Ren’Ai Township, Nantou County","1430","10","1000813","245440.00","2662598.00","415","現存","","三角公園北邊","互助村","143010","143011","自記式","是"
"01H780","內茅埔(2)","南投縣信義鄉自強村(臺大營林區)","Ziqiang Vil., Xinyi Township, Nantou County","1510","10","1000812","234887.86","2620766.58","485.00","現存","","台大營林區","自強村","151010","151011","自記式","是"
"01J100","西螺(2)","雲林縣西螺鎮永安里中山路水利會西螺工作站","Zhongshan Rd., Xiluo Township, Yunlin County","1510","17","1000904","195468.05","2633033.84","30.00","現存","","西螺工作站","永安里","151010","151011","自記式","是"
"01J930","林內(1)","雲林縣林內鄉林中村中正路388號(雲林農田水利會林內工作站)","No.388, Zhongzheng Rd., Linnei Township, Yunlin County 643, Taiwan (R.O.C.)","1520","17","1000910","210499.27","2627974.30","82.00","現存","","林內工作站","林中村","","","自記式","是"
"01J960","大埔","雲林縣古坑鄉荷苞村山峰17號（山峰國小）","No17, Shan-Feng, Hebao, Gukeng Township, Yunlin County 646, Taiwan (R.O.C.)","1540","17","1000907","210759.82","2614146.66","205.00","現存","","山峰國小","荷苞村","154010","154011","自記式","是"
"01J970","草嶺(2)","雲林縣古坑鄉草嶺村(永利賓館蓄水塔塔頂)","Caoling Vil., Gukeng Township, Yunlin County","1510","17","1000907","218934.12","2609005.34","724.00","現存","","","","","","",""
"01K060","褒忠(2)","雲林縣褒忠鄉中勝路72號（褒忠國小）","No72, Zhongsheng Rd., Baozhong Township, Yunlin County 634, Taiwan (R.O.C.)","1530","17","1000915","179741.25","2622094.16","13.00","現存","","褒忠國小","埔姜村","","","自記式","是"
"01L360","小公田(2)","嘉義縣番路鄉公興村中寮21號(公興村活動中心)","No21,Jhong-Liao, Gongxing, Fanlu Township, Chiayi County 602, Taiwan (R.O.C.)","1580","21","1001016","213387.00","2591324.00","680.00","現存","","番路鄉公所","公興村","158010","158011","自記式","是"
"01L390","大湖山","嘉義縣番路鄉大湖村下坪5鄰8號（大湖國小）","No.8,  Ln. 5, Xiaping, Dahu, Fanlu Township, Chiayi County 602, Taiwan (R.O.C.)","1580","21","1001016","211201.72","2596954.26","725.00","現存","","大湖國小","大湖村","158010","158011","自記式","是"
"01L480","樟腦寮(2)","嘉義縣竹崎鄉緞繻村樟腦寮31號","No31, Zhang-Nao-Hiao, Duanxu, Zhuqi Township, Chiayi County 604, Taiwan (R.O.C.)","1550","21","1001014","209420.21","2603369.03","545.00","現存","","私有","緞繻村","155010","","自記式","是"
"01L490","沙坑","嘉義縣竹崎鄉沙坑村58號(沙坑國小)","No58, Shakeng, Zhuqi Township, Chiayi County 604, Taiwan (R.O.C.)","1550","21","1001014","201045.13","2603091.55","78.00","現存","","沙坑國小","沙坑村","155010","","自記式","是"
"01L910","中坑(3)","嘉義縣大林鎮中坑里芎蕉山41號","No41, Qiong-Jiao-Shan, Zhongkeng, Dalin Township, Chiayi County 622, Taiwan (R.O.C.)","1540","21","1001004","201098.83","2607536.60","95.00","現存","","龍岩國小","中坑里","154010","154011","自記式","是"
"01M010","溪口(3)","嘉義縣溪口鄉妙崙村下崙52號(水利會溪口工作站)","No.52, Xialun, Miaolun, Xikou Township, Chiayi County 623, Taiwan (R.O.C.)","1540","21","1001006","188759.45","2609479.07","17.00","現存","","溪口工作站","妙崙村","154010","154011","自記式","是"
"01M310","新高口","嘉義縣阿里山鄉自忠村","CHICHUNG T. WUFEN H. CHIAI H.","1730","21","1001001","234530.86","2596502.40","2540.00","廢站","","","","173010","173011","自記式","否"
"01N840","西阿里關","臺南市南化區關山村(林務局山林工作站)","KUANSAN T. NANHUA H. TAINAN H.","1630","6","6700100","207329.28","2557933.55","480.00","廢站","","","","163010","","自記式","否"
"01N850","南化(2)","臺南市南化區南化里226之1號(南化衛生所)","No.226-1, Nanhua, Nanhua Dist., Tainan City","1630","6","6702500","196641.67","2549310.58","114.00","現存","","南化鄉衛生所","南化村","163010","","自記式","是"
"01N860","崎頂","臺南市龍崎區崎頂里(崎頂民眾服務站)","Qiding, Longqi Dist., Tainan City","1650","6","6703000","184352.81","2540546.00","100.00","現存","","崎頂民眾服務社","崎頂村","165020","","自記式","是"
"01O070","關子嶺(2)","臺南市白河區關嶺里94之3號(關嶺國小)","No94-3, Guanling. Baihe Dist., Tainan City 732, Taiwan (R.O.C.)","1590","6","6700300","199581.46","2581011.89","350.00","現存","","關嶺分校","關嶺里","159010","159011","自記式","是"
"01O080","六溪","臺南市白河區六溪里5鄰26號(六溪分校)","No26, Ln5, Liuxi, Baihe Dist., Tainan City 732, Taiwan (R.O.C.)","1590","6","6700300","194693.74","2578610.85","86.00","現存","","六溪分校","六溪里","159010","159011","自記式","是"
